threshold,P_above,P_below,P_model,bucket,ticker
3.67,0.8548,0.1452,0.8548,>3.67,KXAAAGASW-26MAR23-3.670
3.68,0.8439,0.1561,0.8439,>3.68,KXAAAGASW-26MAR23-3.680
3.69,0.8319,0.1681,0.8319,>3.69,KXAAAGASW-26MAR23-3.690
3.7,0.8206,0.1794,0.8206,>3.70,KXAAAGASW-26MAR23-3.700
3.71,0.8087,0.1913,0.8087,>3.71,KXAAAGASW-26MAR23-3.710
3.72,0.7967,0.2033,0.7967,>3.72,KXAAAGASW-26MAR23-3.720
3.73,0.782,0.218,0.782,>3.73,KXAAAGASW-26MAR23-3.730
3.74,0.7686,0.2314,0.7686,>3.74,KXAAAGASW-26MAR23-3.740
3.75,0.7544,0.2456,0.7544,>3.75,KXAAAGASW-26MAR23-3.750
3.76,0.7388,0.2612,0.7388,>3.76,KXAAAGASW-26MAR23-3.760
3.77,0.724,0.276,0.724,>3.77,KXAAAGASW-26MAR23-3.770
3.78,0.7072,0.2928,0.7072,>3.78,KXAAAGASW-26MAR23-3.780
3.79,0.6923,0.3077,0.6923,>3.79,KXAAAGASW-26MAR23-3.790
3.8,0.6748,0.3252,0.6748,>3.80,KXAAAGASW-26MAR23-3.800
3.81,0.6578,0.3422,0.6578,>3.81,KXAAAGASW-26MAR23-3.810
3.82,0.6393,0.3607,0.6393,>3.82,KXAAAGASW-26MAR23-3.820
3.84,0.6015,0.3985,0.6015,>3.84,KXAAAGASW-26MAR23-3.840
3.86,0.5655,0.4345,0.5655,>3.86,KXAAAGASW-26MAR23-3.860
3.88,0.5281,0.4719,0.5281,>3.88,KXAAAGASW-26MAR23-3.880
3.9,0.4895,0.5105,0.4895,>3.90,KXAAAGASW-26MAR23-3.900
3.92,0.4516,0.5484,0.4516,>3.92,KXAAAGASW-26MAR23-3.920
3.94,0.4133,0.5867,0.4133,>3.94,KXAAAGASW-26MAR23-3.940
3.96,0.3785,0.6215,0.3785,>3.96,KXAAAGASW-26MAR23-3.960
3.98,0.3425,0.6575,0.3425,>3.98,KXAAAGASW-26MAR23-3.980
4.0,0.3079,0.6921,0.3079,>4.00,KXAAAGASW-26MAR23-4.000
4.02,0.2749,0.7251,0.2749,>4.02,KXAAAGASW-26MAR23-4.020
4.04,0.2446,0.7554,0.2446,>4.04,KXAAAGASW-26MAR23-4.040
4.06,0.2176,0.7824,0.2176,>4.06,KXAAAGASW-26MAR23-4.060
4.08,0.1916,0.8084,0.1916,>4.08,KXAAAGASW-26MAR23-4.080
4.1,0.168,0.832,0.168,>4.10,KXAAAGASW-26MAR23-4.100
